foodId,CategoryId,foodName,price,briefDescription,ingredients,foodImage
1,1001001," agedashi tofu",4.95,crispy tofu + teriyaki sauce,xxx,1.jpg
2,1001001,ebi shumai,5.95,"steamed shrimp dumplings
",xxxx,2.jpg
3,1001001,edamame,5.95,steamed + salted japanese soybean,xxxx,3.jpg
4,1001001," yam tempura",5.95,crispy yam,xxxx,4.jpg
5,1001001,beef enoki roll,6.95,crispy enoki mushroom beef wrapped with teriyaki sauce,xxx,5.jpg
6,1001001,gyoza,6.95,crispy japanese veggie dumpling,xxx,6.jpg
7,1001001,yakitori,6.95,chicken breast and vegetable skewer with teriyaki sauce,xxxx,7.jpg
8,1001002,miso soup,1.95,Japanese soybean paste soup,xxxx,8.jpg
9,1001002,wonton soup,2.95,Japanese veggie dumpling soup,xxxx,9.jpg
10,1001002,clear soup,3.95,"tilapia, shrimp, veggie + clear broth",xxxx,10.jpg
11,1001002,ebi shumai soup,5.95,shrimp dumpling + clear broth,xxxx,11.jpg
12,1001003,moto garden salad,2.95,green salad with moto dressing,xxxx,12.jpg
13,1001003,kimchi,3.95,"spicy pickled cabbage with cayenne pepper, garlic and ginger",xxx,13.jpg
14,1001003,avocado salad,5.95,"avocado, green salad with moto dressing",xxx,14.jpg
15,1001003,seaweed salad,6.95,seasoned seaweed salad,xxx,15.jpg
16,1001003,sunomono salad,6.95,"crab, shrimp, octopus, seaweed with ponzu sauce",xxxx,16.jpg
17,1001003,spicy tofu salad,7.95,spicy fresh tofu with veggie,xxx,17.jpg
18,1001004,moto crunch noodle soup,6.95,"crunch, somyun noodle + moto broth",xxx,18.jpg
19,1001004,veggie yaki soba,9.95,stir-fry noodle with veggie,xxxx,19.jpg
20,1001004,chicken yaki soba,9.95,stir-fry noodle with chicken and veggie,xxx,20.jpg
21,1001004,beef yaki soba,9.95,stir-fry noodle with beef and veggie,xxxx,21.jpg
22,1001004,zaru soba,11.95,cool buckwheat noodle + soba sauce,xxx,22.jpg
23,1001004,spicy seafood noodle soup,12.95,"seafood, veggie, udon noodle in spicy broth
",xx,23.jpg
24,1001005,avocado maki,3.95,avocado 6pcs,xxx,24.jpg
25,1001005,avocado hand roll,2.95,avocado 1pc,xxx,25.jpg
26,1001005,kappa maki,3.95,cucumber 6pcs,xxxx,26.jpg
27,1001005,shiitake maki,4.95,shiitake mushroom 6pcs,xxxx,27.jpg
28,1001005,shiitake hand roll,3.95,shiitake mushroom 1pc,xxxxx,28.jpg
29,1001005,yummy yam roll maki,4.95,crispy sweet potato 6pcs,xxx,29.jpg
30,1001005,yummy yam hand roll,3.95,crispy sweet potato 6pcs,xxxx,30.jpg
31,1001005,california maki,5.95,"avocado, crab, cucumber + fish egg",xxx,31.jpg
32,1001005,california hand roll,4.95," avocado, crab, cucumber + fish egg",xxx,32.jpg
